citi,day1,day2,day3,day4,name,price,types,url
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Welcome to the picturesque valley of Kathmandu as your Nepal honeymoon package begins today
On your arrival at the airport, you will be warmly welcomed by an agent’s representative. After a quick meet and greet session, you will be escorted to the hotel pre-booked for you. Check-in and relax before setting out on your Nepal sightseeing tour.
Day 1 of your Nepal trip includes a tour of the ‘Heart of Nepal’s tourism’, Thamel. This place is famous for its bustling narrow streets that are studded with craft shops, boutique cafes, restaurants, bars, and tourist-oriented shops.
Enjoy a shopping session at tiny, colorful shops stuffed with Asian artifacts, local souvenirs, and Mandala drawings, in the busy streets of the locality.
In the evening, you can try a relaxing shiatsu massage for couples, or savor authentic Nepalese cuisine, during a date with your spouse, at one of the many traditional Nepali restaurants located on the streets of Thamel. After a hectic day, head back to the hotel for a comfortable sleep.","Embark on a spiritual tour on the 2nd day of your Nepal honeymoon package
After relishing a filling breakfast, get ready for the 2nd day of your romantic Nepal trip. Today, your Nepal sightseeing tour comprises of a visit to the historic Durbar Square which is recognized as a UNESCO World Heritage Site. Enjoy a photography session with your better half at the ancient temples, palaces, courtyards, and streets of Durbar Square.
Proceed forward to visit Patan, the second largest town in Kathmandu Valley. Here you can indulge in various thrilling activities such as rafting on the Bagmati River, an aerial tour of the valley, mountain biking.
In the afternoon, experience the vibes of Hindu spirituality at the Pashupatinath Temple. Non-Hindu foreigners are not allowed in the temple, but they can admire the old stone shrines around the temple.
After a brief tour of the Pashupatinath Temple, pay a visit to the mystical Swayambhunath Buddhist temple that has remained unchanged since the last 700 years. Situated atop a hill, this temple is surrounded by different varieties of trees. Finally, enjoy the calmness of Kathmandu at twilight, before heading back to the hotel for an overnight stay.","Your Nepal honeymoon package includes a visit to the alluring hill station of Nagarkot
Kickstart your day with a scrumptious breakfast, followed by a hotel checkout, and get ready for a breathtaking journey to the hill town of Nagarkot.
During your journey, take a halt at the Bhaktapur Durbar Square and visit the conglomeration of a pagoda, and shikhara-style temples clustered around a huge palace of brick and wood.
At the end of the day, enjoy the pleasing sunset, and head to the hotel. Complete check-in formalities for a restful overnight stay.
Distance from Kathmandu to Nagarkot: 27 km (approx.)
Travel Time: 1 hour, 15 minutes (approx.)","Your 4 day Nepal honeymoon package concludes today
Prior to your breakfast, relish the sight of an awe inspiring sunrise. Spend some quality time with your better half in the quiet surroundings of the hills. Enjoy an early morning walk, hand in hand with your partner, and then head back to the hotel to prepare for departure.
Pack your luggage after a delectable breakfast. Check out from the hotel and get transferred to the airport to board your flight back home. Bid adieu to the city that has given you memories to cherish for a lifetime.",Romantic Nepal Honeymoon Package,"₹16,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Welcome to the paradisiacal country of Nepal. Your Nepal tour package commences today. 
You will be greeted with a welcoming “Namaste” at the airport by one of our tour Representative. After that, you’ll complete check informalities in the morning at our partnered hotel in Kathmandu.
On the afternoon, Nepal tour package will help you in discovering a great many of tiny and colorful shops stuffed with Asian artifacts, local souvenirs, Mandala drawings and the best offer of cashmere in Nepal.
In the evening, you can have a relaxing shiatsu massage, or savor a tasty noodle soup at one of the many traditional Nepali restaurants located on the narrow streets of Thamel.","Your Nepal Tour Package allows you to explore the historical places of the country.
Next morning after getting treated with a healthy breakfast your Nepal Sightseeing begins, you can take pictures of the ancient temples, palaces, courtyards, and streets of Durbar Square and let yourself mesmerized by the magnificent stone sculptures of the Kathmandu's Historical Heaven. Next, you will explore the beautiful landscapes of Kathmandu in Patan, the second-largest town in the valley where you can do adventure activities such as rafting adventure on the Bagmati River, the aerial tour of the valley, or mountain biking.
On the afternoon, you will experience Hindu spirituality at the Pashupatinath Temple and will admire the old stone shrines around the temple and watch the funeral ceremonies on the Bagmati River.
On the evening, you’ll visit a Buddhist temple that has remained unchanged for the last 700 years, the Swayambhunath religious site. Lastly, you will enjoy from the top the calmness of the Kathmandu at twilight.
Return to Hotel for overnight Stay!","Your Nepal tour package includes a visit to the picturesque hill station of Nagarkot.
After breakfast on Day 3, Kathmandu sightseeing will take you to Nagarkot which is a small hill station famed for its breathtaking views. Enroute you’ll make a short stop in the Bhaktapur Durbar Square and visit the conglomeration of pagoda and shikhara-style temples clustered around a huge palace of brick and wood.
At the dawn, you’ll enjoy a surreal sunset. You can take pictures of the Himalayan peaks of Nepal like Ganesh, Manaslu, Langtang, Dorje-Lakpa, Shishapangma, Makalu.Overnight, stay hotel in Nagarkot.
Distance of Nagarkot from Kathmandu: 27 Km
Travel Time : 2 hours","Your Nepal tour package wraps up today.
Day 4 will start with a pre-breakfast activity to catch world-famous sunrise. Then after scrumptious breakfast, you can plan sightseeing according to flight timings.
You’ll bid adieu to this place with loads of memories to take along.",Picturesque Nepal Tour Package,"₹17,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Your Nepal tour package commences today.
On your arrival at Airport, you will be greeted by an agent representative. From airport, you’ll be transferred to Hotel. In evening you’ll attend sunset aarti at Pashupatinath temple which is one of the most important Shiva temples on the subcontinent. Pashupati is considered to have a special concern for the kingdom of Nepal and is an ancient plinth, by the banks of the holy Bagmati River. The sunset aarti is considered to be a divine blessing and is a divine experience.
From there you’ll return back to the hotel for overnight stay.","Your Nepal tour package takes you on a spiritual tour of the city.
After a scrumptious breakfast, the full day sightseeing of picturesque Nepal tour package starts. First, you’ll be taken to Jal Narayan or Budhanilkantha which is a remarkable colossal statue of Lord Vishnu, reclining on the bed of snake. From there you’ll head towards Swayambhunath Temple, This stupa is adorned with a colourful fluttering of prayer flags and crowns a hill overlooking the Kathmandu Valley and offers fantastic views over the city of Kathmandu. Swarms of pilgrims and red-clad monks circle the complex, spinning the prayer wheels could be easily seen. Next attraction is Boudhanath Stupa – The colossal, ancient and largest stupas in South Asia. From there to the last attraction of the day, Durbar Square is the site of the Hanuman Dhoka Palace Complex, which was the royal Nepalese residence until the 19th century and at its southern end is the most curious attractions, the Kumari Chowk.
In evening you can go shopping and later return back to Hotel for the overnight stay.","Explore the breathtaking hill town of Nagarkot on the 3rd day of your Nepal tour package.
On day 3 after breakfast, you’ll be transferred to Nagarkot. In between, you’ll visit the and admire the beauty and royalty of Narayanhiti palace museum which is used to be the residence of the Monarch and the royal family of Nepal, as well as the center of their operations. Then to Bhaktapur Durbar, which is a conglomeration of pagoda and shikhara style temples.It is the most charming architectural showpieces of the Valley as it highlights the ancient arts of Nepal.
After reaching Nagarkot and completing check in formalities into Hotel, you can also do adventure activities such as hiking or trekking to suppress your adrenaline rushes. The evening ends with a scenic view of the sunset.
Overnight stay in Hotel in Nagarkot.","&gt;Your Nepal tour package ends today.
After breakfast, you’ll be having leisure time until departure and later will be dropped to Airport.",Historic Nepal Tour Package,"₹17,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Embrace the richness of the country as you step on the capital city
As you arrive at the Kathmandu airport, you will meet the Tripmaster Personnel who will accommodate you to the hotel. The rest of the day is at leisure, so you can explore the nearby places at your own cost or rest for the day at the hotel. As the day ends enjoy your comfortable overnight stay at the hotel.
About Kathmandu:
Kathmandu is the capital of Nepal and the Kathmandu Valley is the political and cultural heart of the Kingdom. The urban sprawl that makes up modern Kathmandu is in fact two cities, Patan and Kathmandu.","Find solace in the peaceful surroundings of Nepal and its magnificent temples
This morning you will be taken on a spiritual stride to Pashupatinath for understanding the Hindu culture in Nepal.This place is known as a prayer ground for holy sadhus along which cremation on the Bagmati river is also carried out. After which you will visit the Boudhanath temple which is entrusted as the holiest shrine for the Buddhist culture. Moving on from these two spots, you will be taken to Patan which is also called Lalitpur. A home to the substantive architectural ancient masterpieces, this city creates a true picture of Nepal’s rich culture. You will also visit the Tibetan refugee center and the Swayambhunath temple.
 After an eventful day return to your hotel for an overnight stay.","Enjoy being surrounded by natural beauty
Afteere a delicious breakfast, it is time to check out of the hotel and transfer to Nagarkot, a beautiful little hill station near Kathmandu. Enroute, pay a visit to Bhaktapur Durbar Square and Palace Museum.
Upon arrival at the hotel, check in and relax for a while. You have the remainder of the day at leisure, so you can choose to spend it as you see fit. At the end of the day, return to the hotel for the night.
Distance from Kathmandu to Nagarkot: 27 km (approx)
Travel Time: 1.5 hours (approx) ","Take away all the beautiful memories as you take departure from Nepal
As you enjoy your last meal in Nepal, pack your bags to check-out from the hotel. You will be transferred to the airport for your onward journey home.",Discover The Ancient Nepal Tour,"₹11,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
POKHARA (2D)kathmandu (2D),"Begin the first day of your honeymoon by enjoying the lush beauty of the scenic terrains enroute to Pokhara
Upon arrival at the Kathmandu International Airport, you will be received by the tour director who will arrange a private transfer to Pokhara. Visit the ethereal Manakamana Temple by Cable Car to enjoy some breathtaking views which undoubtedly makes this site one of the best honeymoon places in Nepal. Relax and shed the weariness of your journey or explore the city, and spend the rest of the day at your leisure.
Distance: 205 kms
Travel Time: 6 hours
Optional: Visit Old Bazaar to indulge yourself with a little shopping (own arrangement)","Spend the day with your partner visiting the medieval temples as well as witnessing the gorgeous sunrise/sunset at Sarangkot
Have a delectable breakfast at the hotel and prepare to be mesmerised by the panoramic views of the Annapurna range which is among the best honeymoon places in Nepal. Visit Bindabasini Temple, Gupteshwor Cave, David Falls, and Tal Barahi Temple. Return to hotel in Pokhara for the night.
Distance from Pokhara to Sarangkot: 10 kms
Travel time: 0.5 hours
Optional: Go for an adventurous paragliding tour from Sarangkot (own arrangement)","The third day of your Pokhara honeymoon tour in Nepal takes you once again through the beautiful landscapes enroute Kathmandu
After a healthy breakfast at the hotel, proceed to the city of Kathmandu, which is said to be under Buddha's watchful grace. Seek blessings for a happily married life by visiting the Pashupatinath Temple which sits majestically on the banks of Bagmati River and is a vital site of religious fervour. The exciting day comes to an end with a drive back to the hotel for an overnight stay.
Distance from Pokhara to Kathmandu: 206 kms
Travel Time: 6 hours","The journey ends with a plethora of unparalleled memories that will be cherished forever
After a hearty breakfast at the hotel, proceed to checkout and a drive back to the Kathmandu International Airport. With this, Day 4 marks the end of your honeymoon tour in Nepal and sums up a romantic vacation amidst nature’s unprecedented beauty.",Enchanting Pokhara Honeymoon Package,"₹21,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Embrace the serene surroundings as you step at the capital city
Upon your arrival at the airport, you will meet our office personnel in Kathmandu. Later you will be transferred to the hotel. You can spend the day in complete leisure in the hotel and later enjoy a comfortable overnight stay at the hotel.
About Kathmandu:
Kathmandu is the capital of Nepal and the Kathmandu Valley is the political and cultural heart of the Kingdom.The urban sprawl of two cities, Patan and Kathmandu makes up the modern Kathmandu.","Rebound with the hindu culture in Nepal
This morning you will be taken for a visit to the Hindu culture in Nepal, Pashupatinath after having breakfast.This is the place where holy sadhus pray and  perform cremations on the banks of the Bagmati River. We will then continue towards Boudhanath which is the holiest shrine of the Buddhist culture in Nepal. With its large stupa, this is the place where all devout Buddhists come for a pilgrimage. After completion of these two spots, you will be taken for a visit to Patan.
Also known as Lalitpur , the city of beauty is separated from Kathmandu only by the Bagmati River and is the second largest town in the valley. Within the city also lies the Tibetan refugee center, home to most of the valley's Tibetan population. While technically refugees, the Tibetans are some of the wealthiest people in the valley because of the carpet industry they operate. For those looking to bring home a fine Tibetan carpet, this is the place to shop. Before the end you will head to Swayambhunath temple, which is the last attraction for the day. Later you will return to the hotel for an overnight stay.","Enjoy the picturesque beauty of Mount everest and the sunset
Today after a scrumptious meal of breakfast, we will start our drive towards Nagarkot which is situated 32 kilometers, 1.5 hrs drive east of Kathmandu at an altitude of 2,175 meters.The panoramic view of the major peaks including Mt. Everest can be seen from here. This place is also famous for viewing sunrise and sunset. On the way to Nagarkot at 17 km stop for Bhaktapur. Later you will explore the architectural wonders in Nepal and head towards the hotel for an overnight stay.","Reconcile all the memories and take departure from Nepal
Today after breakfast you will check-out from the hotel and drive straight to the airport which is 1.5 hours drive approx to board flight for onward journey as your tour ends.",Enchanting Nepal Tour,"₹10,700/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
POKHARA (2D)kathmandu (2D),"Welcome to a lake city amidst the mighty Himalayas
After landing at Kathmandu Airport via early morning flight, you will be greeted by our local representative in Nepal. To start your Pokhara tour package, you will be transferred to Pokhara on a scenic drive through the forested hills. Along the road, one can view the snow-laden summits of Annapurna and Dhaulagiri ranges. After your arrival in Pokhara, check in to your hotel and take a couple of hours of rest. Wake up rejuvenated and then enjoy your evening by the shimmering Phewa Lake. After enjoying boating in the lake with your family or group, visit pagoda-style Tal Barahi Temple or (Varahi Temple) on an island. Spend some time admiring the natural scenery and the 18th-century architecture of this temple before returning to your hotel for the overnight stay.","Welcome the rising sun and enjoy sightseeing
Rise and shine early to catch the spectacular sunrise at 5 am. You will be picked from the hotel to Sarangkot village that is famous for magnificent sunrise views of the snow-covered Himalayan peaks. One can clearly see the towering summits of Machapuchare, Dhaulagiri, and Annapurna lit up with sunshine. Return to your hotel around 8 am to freshen up and enjoy breakfast.
Gear up for a sightseeing tour in Pokhara. Take a scenic drive on the Siddhartha Highway to visit the thundering Devi's Falls – one of the major tourist attractions in Pokhara. Take a short walk from the waterfall to seek blessings of Lord Shiva at the Gupteshwar Mahadev Cave. Return to the city in the evening.","Take a long drive back to the national capital
Post breakfast, check out of your hotel in Pokhara. Continue your Pokhara tour package to Kathmandu, making a stop at Manakamana Temple. Seek the blessings of Goddess Bhagwati with your family and then resume your trip to Kathmandu. Check in to your hotel in Kathmandu and enjoy the remainder of the day as per your interest. You can explore the nearby attractions in Kathmandu while doing some shopping as well. Overnight stay will be in Kathmandu.","Say farewell to the beauty of Himalayas
After a delicious breakfast, gear up for a half-day Kathmandu city tour. Visit popular attractions in Kathmandu such as Pashupatinath Temple and Boudhanath Stupa. Make the most of your time in Kathmandu by shopping and sightseeing. Return to the hotel for check-out formalities and later you will be dropped to Kathmandu Airport as per departure schedule. Take the flight back home and your Kathmandu Pokhara tour package culminates here.",Fabulous Pokhara Tour Package,"₹20,199/-",4 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (4D),"Get ready for a serene sojourn in Kathmandu!
Upon arriving at the Kathmandu Airport, you will be greeted and received by your trip agent’s representative. After which, you will leave for the hotel and complete the check-in formalities upon reaching there. In the afternoon, get ready for a Kathmandu sightseeing tour in which you will visit the famous Boudhanath Stupa and attend the aarti at the Pashupatinath Temple later in the evening.
After visiting the temple, drive back for an overnight stay at the hotel.","Be spellbound by the beauty of Kathmandu.
Have a scrumptious breakfast at the hotel with your loved ones and get ready to explore the city as mentioned in the Kathmandu tour package. You will visit the serene Jalanarayan Temple (Sleeping Vishnu), Kathmandu Durbar Square, Swayambhunath Stupa, and Patan Durbar Square for soaking up some peace and learning about the history of Kathmandu.
Later, drive back to your hotel and relax for the night.","Witness the iconic statues and temples before the trip ends.
The third day is for witnessing Kathmandu and shopping at the famous places. After having a delectable breakfast, drive to the Kailashnath Mahadev Statue in Sanga, which is on the border of the Bhaktapur. Capture some beautiful memories while you’re here.
What’s more? Besides taking you on a tour to some religious sites, our Kathmandu tour package for 4 days also has a treat for every traveller who loves indulging in shopping. After seeking blessing at Kailashnath Mahadev Statue, drive to the Bhaktapur Durbar Square, and then spend the rest of the day calming the shopaholic within you.","Capture the moments before you leave for cherishing the memories later.
After a hearty breakfast, pack your bags, and leave for the airport for final departure. But before that, make sure you capture a few more moments to cherish later when you’re home.",Splendid Kathmandu Tour Package,"₹12,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D),"Begin your honeymoon with an aarti
Upon arrival at the Nepal airport, a tour agent’s representative will meet you and arrange a private transfer to your hotel of stay. After completing the check-in formalities, you may take a power nap in your room to get over jetlag and freshen yourself for the evening. The evening of the first day of your Nepal honeymoon package includes a visit to the famous Pashupatinath Temple where you can attend soul-fulfilling aarti. If you are tired for the day you will be transferred back to the hotel for night stay.","Indulge in a lively excursion on the second day of your honeymoon
After indulging in a hearty meal at the hotel, get ready for a full-fledged sightseeing tour in Kathmandu. The places that you would be as part of this Nepal honeymoon package include Jal Narayan, Swayambhunath, which is an ancient religious architecture consisting of varieties of stupa, shrines, temples, museum and a library, Boudhanath Stupa, which is one of the largest Buddhist Stupas in the world. Later on, you would also be visiting Durbar Square, which is surrounded by spectacular architecture including temples, Nepalese royal residence, and museum. The evening of this day is kept for you to spend according to your plans. You can indulge in shopping or try out the local cuisine there. This fun-filled day comes to an end with an overnight stay in the hotel.","On the third day of your tour enjoy the scenic spot of Bhaktapur
After indulging in a scrumptious meal at the hotel, get ready as today you would be exploring the Bhaktapur district. The places that you would be visiting on the 3rd day of your Nepal honeymoon package includes Palace Museum and Bhaktapur Durbar Square. Later on, you would be visiting Nagarkot, which offers spectacular views of Kathmandu Valley. Here you can indulge in short hiking and also enjoy the exquisite sunset with your better half.
This beautiful day ends with an overnight stay in the hotel.","The 4th day marks the last day of your honeymoon
On this day of your, get ready as now you would be checking out from the hotel as this day marks the last day of your Nepal honeymoon package. Before the final departure you can indulge in a local excursion of the place and shop for yourselves. Later on you would be transferred to the airport from where you will be boarding flight home.",Stupendous Nepal Honeymoon Package,"₹16,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (4D),"Step into an enchanting hub of culture, architecture, and mesmerizing vistas with your beloved.
Upon arrival in Kathmandu Airport, you will be greeted by your tour agent’s representative prior to an assisted transfer to your hotel. Once at the hotel, you can complete the smooth check-in formalities and rest in your room.
Post a delicious lunch, proceed to the Boudhanath Stupa, the first attraction on your 4 days Kathmandu honeymoon and one of the largest spherical stupas in Nepal known for its massive mandala. In the evening, be part of the evening ‘Aarti’ at the famous Pashupatinath Temple and seek blessings for a healthy and happy married life. Post your transfer back to the hotel, indulge in a hearty dinner and rest in your room.","Seek blessings for a long and happy married life at the many holy shrines in Kathmandu.
Post a lavish breakfast, visit the Jal Narayan Temple, a Hindu open-air temple famed for its reclining statue of the Sleeping Vishnu. Next, on your romantic Kathmandu tour, you can visit the Kathmandu Durbar Square and Patan Durbar Square, two of the three Durbar Squares in Kathmandu which are also renowned UNESCO World Heritage Sites. Later, visit the Swayambhunath Stupa, ancient religious sanctum atop a hill in the Kathmandu Valley.
Next on your Kathmandu honeymoon itinerary is a visit to the Krishna Temple. Post a refreshing city tour of Kathmandu with your amour, you can return to your hotel for a delicious dinner and a cozy overnight stay in your room.","Whisk your maiden off her feet with some hearty shopping for gems and jewelry!
After a sumptuous breakfast, you can proceed to the popular Kailashnath Mahadev Statue. It is the world's tallest Shiva statue and is located in the charming district of Sanga on the border of the Bhaktapur. After paying your respects at this holy sanctum and immersing in its splendid glory, you can head to the Bhaktapur Durbar Square, the third Durbar Square in Kathmandu.
You can enjoy the rest of the evening as you want to. Indulge in some hearty shopping or explore the vibrant nightlife of Kathmandu. The streets and markets of Kathmandu are known for some amazing handicrafts and local merchandise that you and your beloved can take home to mark your first romantic vacation!
After spending time together on the picture-perfect streets of Kathmandu, return to the hotel for your overnight stay.","Bid farewell to the enchanting city &amp; take home truckloads of memories of your Kathmandu honeymoon.
You can indulge in a hearty breakfast at your hotel before being dropped to the Kathmandu International Airport for your return journey. Board your flight back home with enlivening memories of your romantic Kathmandu vacation!",Idyllic Kathmandu Honeymoon Package,"₹12,700/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
