citi,discount,duration,price,title,types
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 16,200/-",Romantic Nepal Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 21,199/-",Enchanting Pokhara Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>",9,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 9,700/-",Pleasing Pokhara Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 10,700/-",Enchanting Nepal Tour,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>",8,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 12,199/-",Splendid Kathmandu Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 17,200/-",Picturesque Nepal Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 20,199/-",Fabulous Pokhara Tour Package,4
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>",10,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 15,199/-",An Adventurous Yet Relaxing Pokhara Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 17,200/-",Historic Nepal Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",9,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 11,199/-",Discover The Ancient Nepal Tour,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>",9,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 10,199/-",Exciting Pokhara Sightseeing Tour Packages,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">7<!-- --> Days &amp; <!-- -->6<!-- --> Nights</span>","₹ 24,200/-",Amazing Nepal Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 19,199/-",Explore The Best Of Nepal Tour,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li></ul>",7,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 15,699/-",Nepal Shopping Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 15,199/-",Revitalising Nepal Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">8<!-- --> Days &amp; <!-- -->7<!-- --> Nights</span>","₹ 28,200/-",Nepal Family Tour,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 12,700/-",Idyllic Kathmandu Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (5D)</li></ul>",6,"<span class=""iblock sfc6"">8<!-- --> Days &amp; <!-- -->7<!-- --> Nights</span>","₹ 30,699/-",Nepal 8 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">kathmandu<!-- --> (1D)</li><li class=""f12"">Bhairahawa<!-- --> (2D)</li></ul>",8,"<span class=""iblock sfc6"">6<!-- --> Days &amp; <!-- -->5<!-- --> Nights</span>","₹ 21,500/-",Discounted Nepal Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",11,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 16,200/-",Stupendous Nepal Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>",10,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 16,200/-",Romantic Nepal Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 21,199/-",Enchanting Pokhara Honeymoon Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>",9,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 9,700/-",Pleasing Pokhara Honeymoon Package,3
