citi,description2,description3,description4,name,price,types,url
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to the paradisiacal country of Nepal. Your <strong>Nepal tour package</strong> commences today. </em></p>
<p>You will be greeted with a welcoming “Namaste” at the airport by one of our tour Representative. After that, you’ll complete check informalities in the morning at our partnered hotel in Kathmandu.</p>
<p>On the afternoon, <strong>Nepal tour package</strong> will help you in discovering a great many of tiny and colorful shops stuffed with Asian artifacts, local souvenirs, Mandala drawings and the best offer of cashmere in Nepal.</p>
<p>In the evening, you can have a relaxing shiatsu massage, or savor a tasty noodle soup at one of the many traditional Nepali restaurants located on the narrow streets of Thamel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Your <strong>Nepal Tour Package</strong> allows you to explore the historical places of the country.</em></p>
<p>Next morning after getting treated with a healthy breakfast your <strong>Nepal Sightseeing</strong> begins, you can take pictures of the ancient temples, palaces, courtyards, and streets of Durbar Square and let yourself mesmerized by the magnificent stone sculptures of the Kathmandu's Historical Heaven. Next, you will explore the beautiful landscapes of Kathmandu in Patan, the second-largest town in the valley where you can do adventure activities such as rafting adventure on the Bagmati River, the aerial tour of the valley, or mountain biking.</p>
<p>On the afternoon, you will experience Hindu spirituality at the Pashupatinath Temple and will admire the old stone shrines around the temple and watch the funeral ceremonies on the Bagmati River.</p>
<p>On the evening, you’ll visit a Buddhist temple that has remained unchanged for the last 700 years, the Swayambhunath religious site. Lastly, you will enjoy from the top the calmness of the Kathmandu at twilight.</p>
<p>Return to Hotel for overnight Stay!</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Your <strong>Nepal tour package</strong> includes a visit to the picturesque hill station of Nagarkot.</em></p>
<p>After breakfast on Day 3, <strong>Kathmandu sightseeing</strong> will take you to Nagarkot which is a small hill station famed for its breathtaking views. Enroute you’ll make a short stop in the Bhaktapur Durbar Square and visit the conglomeration of pagoda and shikhara-style temples clustered around a huge palace of brick and wood.</p>
<p>At the dawn, you’ll enjoy a surreal sunset. You can take pictures of the Himalayan peaks of Nepal like Ganesh, Manaslu, Langtang, Dorje-Lakpa, Shishapangma, Makalu.Overnight, stay hotel in Nagarkot.</p>
<p><strong>Distance of Nagarkot from Kathmandu</strong>: 27 Km</p>
<p><strong>Travel Time</strong> : 2 hours</p></div>",Picturesque Nepal Tour Package,"₹17,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Embrace the serene surroundings as you step at the capital city</em></p>
<p>Upon your arrival at the airport, you will meet our office personnel in Kathmandu. Later you will be transferred to the hotel. You can spend the day in complete leisure in the hotel and later enjoy a comfortable overnight stay at the hotel.</p>
<p><strong>About Kathmandu:</strong></p>
<p>Kathmandu is the capital of Nepal and the Kathmandu Valley is the political and cultural heart of the Kingdom.The urban sprawl of two cities, Patan and Kathmandu makes up the modern Kathmandu.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Rebound with the hindu culture in Nepal</em></p>
<p>This morning you will be taken for a visit to the Hindu culture in Nepal, Pashupatinath after having breakfast.This is the place where holy sadhus pray and  perform cremations on the banks of the Bagmati River. We will then continue towards Boudhanath which is the holiest shrine of the Buddhist culture in Nepal. With its large stupa, this is the place where all devout Buddhists come for a pilgrimage. After completion of these two spots, you will be taken for a visit to Patan.</p>
<p>Also known as Lalitpur , the city of beauty is separated from Kathmandu only by the Bagmati River and is the second largest town in the valley. Within the city also lies the Tibetan refugee center, home to most of the valley's Tibetan population. While technically refugees, the Tibetans are some of the wealthiest people in the valley because of the carpet industry they operate. For those looking to bring home a fine Tibetan carpet, this is the place to shop. Before the end you will head to Swayambhunath temple, which is the last attraction for the day. Later you will return to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy the picturesque beauty of Mount everest and the sunset</em></p>
<p>Today after a scrumptious meal of breakfast, we will start our drive towards Nagarkot which is situated 32 kilometers, 1.5 hrs drive east of Kathmandu at an altitude of 2,175 meters.The panoramic view of the major peaks including Mt. Everest can be seen from here. This place is also famous for viewing sunrise and sunset. On the way to Nagarkot at 17 km stop for Bhaktapur. Later you will explore the architectural wonders in Nepal and head towards the hotel for an overnight stay.</p></div>",Enchanting Nepal Tour,"₹10,700/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Get ready for a serene sojourn in Kathmandu!</em></p>
<p>Upon arriving at the Kathmandu Airport, you will be greeted and received by your trip agent’s representative. After which, you will leave for the hotel and complete the check-in formalities upon reaching there. In the afternoon, get ready for a <strong>Kathmandu sightseeing</strong> tour in which you will visit the famous Boudhanath Stupa and attend the aarti at the Pashupatinath Temple later in the evening.</p>
<p>After visiting the temple, drive back for an overnight stay at the hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Be spellbound by the beauty of Kathmandu.</em></p>
<p>Have a scrumptious breakfast at the hotel with your loved ones and get ready to explore the city as mentioned in the <strong>Kathmandu tour package.</strong> You will visit the serene Jalanarayan Temple (Sleeping Vishnu), Kathmandu Durbar Square, Swayambhunath Stupa, and Patan Durbar Square for soaking up some peace and learning about the history of Kathmandu.</p>
<p>Later, drive back to your hotel and relax for the night.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Witness the iconic statues and temples before the trip ends.</em></p>
<p>The third day is for witnessing Kathmandu and shopping at the famous places. After having a delectable breakfast, drive to the Kailashnath Mahadev Statue in Sanga, which is on the border of the Bhaktapur. Capture some beautiful memories while you’re here.</p>
<p>What’s more? Besides taking you on a tour to some religious sites, our <strong>Kathmandu tour package for 4 days</strong> also has a treat for every traveller who loves indulging in shopping. After seeking blessing at Kailashnath Mahadev Statue, drive to the Bhaktapur Durbar Square, and then spend the rest of the day calming the shopaholic within you.</p></div>",Splendid Kathmandu Tour Package,"₹12,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Begin the first day of your honeymoon by enjoying the lush beauty of the scenic terrains enroute to Pokhara</em></p>
<p>Upon arrival at the Kathmandu International Airport, you will be received by the tour director who will arrange a private transfer to Pokhara. Visit the ethereal Manakamana Temple by Cable Car to enjoy some breathtaking views which undoubtedly makes this site one of the <strong>best honeymoon places in Nepal</strong>. Relax and shed the weariness of your journey or explore the city, and spend the rest of the day at your leisure.</p>
<p><strong>Distance:</strong> 205 kms</p>
<p><strong>Travel Time:</strong> 6 hours</p>
<p><strong>Optional:</strong> Visit Old Bazaar to indulge yourself with a little shopping (own arrangement)</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Spend the day with your partner visiting the medieval temples as well as witnessing the gorgeous sunrise/sunset at Sarangkot</em></p>
<p>Have a delectable breakfast at the hotel and prepare to be mesmerised by the panoramic views of the Annapurna range which is among the <strong>best honeymoon places in Nepal.</strong> Visit Bindabasini Temple, Gupteshwor Cave, David Falls, and Tal Barahi Temple. Return to hotel in Pokhara for the night.</p>
<p><strong>Distance from Pokhara to Sarangkot:</strong> 10 kms</p>
<p><strong>Travel time:</strong> 0.5 hours</p>
<p><strong>Optional:</strong> Go for an adventurous paragliding tour from Sarangkot (own arrangement)</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em><em>The third day of your Pokhara <strong>honeymoon tour in Nepal</strong> takes you once again through the beautiful landscapes enroute Kathmandu</em></em></p>
<p>After a healthy breakfast at the hotel, proceed to the city of Kathmandu, which is said to be under Buddha's watchful grace. Seek blessings for a happily married life by visiting the Pashupatinath Temple which sits majestically on the banks of Bagmati River and is a vital site of religious fervour. The exciting day comes to an end with a drive back to the hotel for an overnight stay.</p>
<p><strong>Distance from Pokhara to Kathmandu:</strong> 206 kms</p>
<p><strong>Travel Time:</strong> 6 hours</p></div>",Enchanting Pokhara Honeymoon Package,"₹21,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to a lake city amidst the mighty Himalayas</em></p>
<p>After landing at Kathmandu Airport via early morning flight, you will be greeted by our local representative in Nepal. To start your Pokhara tour package, you will be transferred to Pokhara on a scenic drive through the forested hills. Along the road, one can view the snow-laden summits of Annapurna and Dhaulagiri ranges. After your arrival in Pokhara, check in to your hotel and take a couple of hours of rest. Wake up rejuvenated and then enjoy your evening by the shimmering Phewa Lake. After enjoying boating in the lake with your family or group, visit pagoda-style Tal Barahi Temple or (Varahi Temple) on an island. Spend some time admiring the natural scenery and the 18th-century architecture of this temple before returning to your hotel for the overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome the rising sun and enjoy sightseeing</em></p>
<p>Rise and shine early to catch the spectacular sunrise at 5 am. You will be picked from the hotel to Sarangkot village that is famous for magnificent sunrise views of the snow-covered Himalayan peaks. One can clearly see the towering summits of Machapuchare, Dhaulagiri, and Annapurna lit up with sunshine. Return to your hotel around 8 am to freshen up and enjoy breakfast.</p>
<p>Gear up for a sightseeing tour in Pokhara. Take a scenic drive on the Siddhartha Highway to visit the thundering Devi's Falls – one of the major tourist attractions in Pokhara. Take a short walk from the waterfall to seek blessings of Lord Shiva at the Gupteshwar Mahadev Cave. Return to the city in the evening.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Take a long drive back to the national capital</em></p>
<p>Post breakfast, check out of your hotel in Pokhara. Continue your Pokhara tour package to Kathmandu, making a stop at Manakamana Temple. Seek the blessings of Goddess Bhagwati with your family and then resume your trip to Kathmandu. Check in to your hotel in Kathmandu and enjoy the remainder of the day as per your interest. You can explore the nearby attractions in Kathmandu while doing some shopping as well. Overnight stay will be in Kathmandu.</p></div>",Fabulous Pokhara Tour Package,"₹20,199/-",4 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>With the freshness of the hill station, kickstart your <strong>Pokhara honeymoon package.</strong></em></p>
<p>On your arrival at the Pokhara Airport, you will be greeted by an agent’s representative who will transfer you to the hotel. Complete the check-in process and relax at the hotel for a while. The remaining day is at leisure for you to enjoy with your loved ones. Couples can visit the Phewa Lake and enjoy a boat ride. Stroll around the lake hand in hand and enjoy the sunset.</p>
<p>Return to the hotel and sleep overnight to wake up stress-free.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Get ready for a full day excursion to the beautiful valleys of Sarangkot</em></p>
<p>Wake up in the morning to delicious breakfast. Gear up as today you will be taken on a full day excursion to Sarangkot. It is located on the top of a hillock just north of Phewa Lake. Gaze the beautiful views of sunrise and sunset from the Sarangkot as the sun splashes hues of red on the Himalayan Range. The lovebirds can get a splendid view of the Panoramic Range of Annapurna, Dhaulagiri, Machhapuchhre and Ganesh Hind.</p>
<p>In the afternoon visit one of the oldest temples of Pokhara, the Bindabasini Temple which was a part of the Kashi kingdom. Apart from the peace and tranquility that can be felt in this region the premises of the temple offers a scenic view of Himalaya on a clear day. The temple is bordered by the Old Bazaar, so the journey to the temple can be combined with a visit to it. Next up on the list is the auspicious Devi Falls also known as Patale Chhango. This amazing waterfall lies 2 km from southwest Pokhara. With gushing water splashing and making its way through the rocks, the waterfall takes its real form in the monsoon season. Admire the Gupteshwar cave for its different natural forms made from limestone deposits. Gupteshwar caves lie opposite to Devi Falls.</p>
<p>Return to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>The trip culminates here.</em></p>
<p>Get ready have your last meal at the hotel before checking out. You will be dropped at the Pokhara Airport to catch your flight back home.</p></div>",Pleasing Pokhara Honeymoon Package,"₹9,700/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Your <strong>Nepal tour package</strong> commences today.</em></p>
<p>On your arrival at Airport, you will be greeted by an agent representative. From airport, you’ll be transferred to Hotel. In evening you’ll attend sunset aarti at Pashupatinath temple which is one of the most important Shiva temples on the subcontinent. Pashupati is considered to have a special concern for the kingdom of Nepal and is an ancient plinth, by the banks of the holy Bagmati River. The sunset aarti is considered to be a divine blessing and is a divine experience.</p>
<p>From there you’ll return back to the hotel for overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Your <strong>Nepal tour package</strong> takes you on a spiritual tour of the city.</em></p>
<p>After a scrumptious breakfast, the full day sightseeing of picturesque <strong>Nepal tour package</strong> starts. First, you’ll be taken to Jal Narayan or Budhanilkantha which is a remarkable colossal statue of Lord Vishnu, reclining on the bed of snake. From there you’ll head towards Swayambhunath Temple, This stupa is adorned with a colourful fluttering of prayer flags and crowns a hill overlooking the Kathmandu Valley and offers fantastic views over the city of Kathmandu. Swarms of pilgrims and red-clad monks circle the complex, spinning the prayer wheels could be easily seen. Next attraction is Boudhanath Stupa – The colossal, ancient and largest stupas in South Asia. From there to the last attraction of the day, Durbar Square is the site of the Hanuman Dhoka Palace Complex, which was the royal Nepalese residence until the 19th century and at its southern end is the most curious attractions, the Kumari Chowk.</p>
<p>In evening you can go shopping and later return back to Hotel for the overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Explore the breathtaking hill town of Nagarkot on the 3rd day of your <strong>Nepal tour package</strong>.</em></p>
<p>On day 3 after breakfast, you’ll be transferred to Nagarkot. In between, you’ll visit the and admire the beauty and royalty of Narayanhiti palace museum which is used to be the residence of the Monarch and the royal family of Nepal, as well as the center of their operations. Then to Bhaktapur Durbar, which is a conglomeration of pagoda and shikhara style temples.It is the most charming architectural showpieces of the Valley as it highlights the ancient arts of Nepal.</p>
<p>After reaching Nagarkot and completing check in formalities into Hotel, you can also do adventure activities such as hiking or trekking to suppress your adrenaline rushes. The evening ends with a scenic view of the sunset.</p>
<p>Overnight stay in Hotel in Nagarkot.</p></div>",Historic Nepal Tour Package,"₹17,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to the picturesque valley of Kathmandu as your <strong>Nepal honeymoon package</strong> begins today</em></p>
<p>On your arrival at the airport, you will be warmly welcomed by an agent’s representative. After a quick meet and greet session, you will be escorted to the hotel pre-booked for you. Check-in and relax before setting out on your <strong>Nepal sightseeing tour</strong>.</p>
<p>Day 1 of your <strong>Nepal trip</strong> includes a tour of the ‘Heart of Nepal’s tourism’, Thamel. This place is famous for its bustling narrow streets that are studded with craft shops, boutique cafes, restaurants, bars, and tourist-oriented shops.</p>
<p>Enjoy a shopping session at tiny, colorful shops stuffed with Asian artifacts, local souvenirs, and Mandala drawings, in the busy streets of the locality.</p>
<p>In the evening, you can try a relaxing shiatsu massage for couples, or savor authentic Nepalese cuisine, during a date with your spouse, at one of the many traditional Nepali restaurants located on the streets of Thamel. After a hectic day, head back to the hotel for a comfortable sleep.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Embark on a spiritual tour on the 2nd day of your <strong>Nepal honeymoon package</strong></em></p>
<p>After relishing a filling breakfast, get ready for the 2nd day of your romantic <strong>Nepal trip</strong>. Today, your <strong>Nepal sightseeing</strong> tour comprises of a visit to the historic Durbar Square which is recognized as a UNESCO World Heritage Site. Enjoy a photography session with your better half at the ancient temples, palaces, courtyards, and streets of Durbar Square.</p>
<p>Proceed forward to visit Patan, the second largest town in Kathmandu Valley. Here you can indulge in various thrilling activities such as rafting on the Bagmati River, an aerial tour of the valley, mountain biking.</p>
<p>In the afternoon, experience the vibes of Hindu spirituality at the Pashupatinath Temple. Non-Hindu foreigners are not allowed in the temple, but they can admire the old stone shrines around the temple.</p>
<p>After a brief tour of the Pashupatinath Temple, pay a visit to the mystical Swayambhunath Buddhist temple that has remained unchanged since the last 700 years. Situated atop a hill, this temple is surrounded by different varieties of trees. Finally, enjoy the calmness of Kathmandu at twilight, before heading back to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Your <strong>Nepal honeymoon package</strong> includes a visit to the alluring hill station of Nagarkot</em></p>
<p>Kickstart your day with a scrumptious breakfast, followed by a hotel checkout, and get ready for a breathtaking journey to the hill town of Nagarkot.</p>
<p>During your journey, take a halt at the Bhaktapur Durbar Square and visit the conglomeration of a pagoda, and shikhara-style temples clustered around a huge palace of brick and wood.</p>
<p>At the end of the day, enjoy the pleasing sunset, and head to the hotel. Complete check-in formalities for a restful overnight stay.</p>
<p><strong>Distance from Kathmandu to Nagarkot:</strong> 27 km (approx.)</p>
<p><strong>Travel Time:</strong> 1 hour, 15 minutes (approx.)</p></div>",Romantic Nepal Honeymoon Package,"₹16,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Embrace the richness of the country as you step on the capital city</em></p>
<p>As you arrive at the Kathmandu airport, you will meet the Tripmaster Personnel who will accommodate you to the hotel. The rest of the day is at leisure, so you can explore the nearby places at your own cost or rest for the day at the hotel. As the day ends enjoy your comfortable overnight stay at the hotel.</p>
<p><strong>About Kathmandu:</strong></p>
<p>Kathmandu is the capital of Nepal and the Kathmandu Valley is the political and cultural heart of the Kingdom. The urban sprawl that makes up modern Kathmandu is in fact two cities, Patan and Kathmandu.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Find solace in the peaceful surroundings of Nepal and its magnificent temples</em></p>
<p>This morning you will be taken on a spiritual stride to Pashupatinath for understanding the Hindu culture in Nepal.This place is known as a prayer ground for holy sadhus along which cremation on the Bagmati river is also carried out. After which you will visit the Boudhanath temple which is entrusted as the holiest shrine for the Buddhist culture. Moving on from these two spots, you will be taken to Patan which is also called Lalitpur. A home to the substantive architectural ancient masterpieces, this city creates a true picture of Nepal’s rich culture. You will also visit the Tibetan refugee center and the Swayambhunath temple.</p>
<p> After an eventful day return to your hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy being surrounded by natural beauty</em></p>
<p>Afteere a delicious breakfast, it is time to check out of the hotel and transfer to Nagarkot, a beautiful little hill station near Kathmandu. Enroute, pay a visit to Bhaktapur Durbar Square and Palace Museum.</p>
<p>Upon arrival at the hotel, check in and relax for a while. You have the remainder of the day at leisure, so you can choose to spend it as you see fit. At the end of the day, return to the hotel for the night.</p>
<p><strong>Distance from Kathmandu to Nagarkot:</strong> 27 km (approx)</p>
<p><strong>Travel Time:</strong> 1.5 hours (approx) </p></div>",Discover The Ancient Nepal Tour,"₹11,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>With the freshness of the hill station, kickstart your <strong>Pokhara sightseeing tour</strong></em></p>
<p>You are escorted to the hotel by an agent’s representative as you reach the Pokhara airport. Check-in and relax for sometime before deciding how you want to spend the rest of the day. Couples can go to Phewa Lake and enjoy a boat ride after which they can walk around the lake and enjoy each other’s company.</p>
<p>Go back to your hotel and get some relaxing sleep.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Get ready for a full day excursion to the beautiful valleys of Sarangkot</em></p>
<p>Head out for a full day excursion to Sarangkot after enjoying a delicious breakfast. Enjoy the beautiful views of sunset and sunrise from Sarangkot as the sun splashes hues of red on the Himalayan Range. The lovebirds can get a splendid view of the Panoramic Range of Annapurna, Dhaulagiri, Machhapuchhre and Ganesh Hind. In the afternoon visit one of the oldest temples of Pokhara, the Bindabasini Temple which was a part of the Kashi kingdom. The journey to the temple can be accompanied by shopping at the old bazaar which borders the temple. Next up on the list is the auspicious Devi Falls also known as Patale Chhango. This amazing waterfall lies 2 km from southwest Pokhara. Admire the Gupteshwar cave for its different natural forms made from limestone deposits. Gupteshwar caves lie opposite to Devi Falls.</p>
<p>Return to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>The trip culminates here.</em></p>
<p>Check out from the hotel after having your meal. You will be dropped at the Pokhara airport after which you can catch your flight back home.</p></div>",Exciting Pokhara Sightseeing Tour Packages,"₹10,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
